factor,horizon,ic,rank_ic,oriented_rank_ic,ic_period_mean,ic_period_std,ic_ir,ic_t_stat,ic_periods,sample_count
body_position_ratio,1,0.004843917138244418,0.012107478719449625,0.012107478719449625,0.010432843787482575,0.007379875123657766,1.413688390747679,3.7402679132574628,7,259199
body_position_ratio,3,0.006565748314596289,0.015539797211265256,0.015539797211265256,0.017309103651405304,0.008144450102147933,2.1252636377304808,5.622919055883321,7,259197
body_position_ratio,6,0.003190917912573157,0.014716237200643537,0.014716237200643537,0.01951883782448156,0.013768488380145204,1.4176456620051787,3.7507378688752313,7,259194
body_position_ratio,12,-0.0024673691403997743,0.007683350789828049,0.007683350789828049,0.010539112403742421,0.009063227583727016,1.1628431821203904,3.0765938736575436,7,259188
body_position_ratio,24,-0.001877556359318927,0.010634398648333269,0.010634398648333269,0.015127449721167266,0.012564824029977904,1.2039523741100788,3.1853585722610678,7,259176
lower_wick_to_body_ratio,1,-0.0004876662275732015,0.010193584990177548,0.010193584990177548,0.011601403223549094,0.004817385718762165,2.408236313394082,6.371594383515749,7,259199
lower_wick_to_body_ratio,3,0.0005209041879375594,0.01336894373334803,0.01336894373334803,0.016493970956582456,0.00862007636031135,1.9134367570714546,5.062477808660979,7,259197
lower_wick_to_body_ratio,6,-7.522100070526849e-05,0.013111763920347269,0.013111763920347269,0.01879304205950533,0.013841421980328481,1.357739261631798,3.592240431546199,7,259194
lower_wick_to_body_ratio,12,-0.00315791752609686,0.009377337944866778,0.009377337944866778,0.016528706978513934,0.01791974687261678,0.9223739094089269,2.4403719801104407,7,259188
lower_wick_to_body_ratio,24,-0.0031686077430167496,0.009719507848697162,0.009719507848697162,0.02994298523257686,0.052065530809795625,0.5751018911525891,1.5215765825126883,7,259176
upper_wick_to_body_ratio,1,-0.002026642155167451,-0.0045126062863978765,0.0045126062863978765,-0.005224213403989377,0.006351112080447293,-0.8225667155320378,-2.176306966056983,7,259199
upper_wick_to_body_ratio,3,-0.0026548737668116887,-0.005638601408984257,0.005638601408984257,-0.007563172528829939,0.00951520790013548,-0.7948510014922798,-2.102978079299202,7,259197
upper_wick_to_body_ratio,6,0.0019643644858586555,-0.005640087275677939,0.005640087275677939,-0.0076266364806371455,0.010303355153633295,-0.7402090257897931,-1.9584090004451884,7,259194
upper_wick_to_body_ratio,12,0.00048563699496256444,-0.0030454292599493334,0.0030454292599493334,-0.0024669815802435,0.009155828547512365,-0.26944383759935936,-0.7128813865867797,7,259188
upper_wick_to_body_ratio,24,0.0007598373704528968,-0.005599291260505813,0.005599291260505813,0.00199909326560508,0.02145951389453246,0.09315650277215351,0.24646893934361733,7,259176
volume_z_score,1,0.002370657058380691,0.00092128606931973,0.00092128606931973,0.010867128553249894,0.02737701762705481,0.3969434765060261,1.0502137233843551,7,259180
volume_z_score,3,-0.00015128964110529817,-0.0012396917255332058,0.0012396917255332058,0.015420968405300314,0.045383298262480005,0.33979391088129396,0.8990101852059482,7,259178
volume_z_score,6,-0.0007408824526934899,0.00016707969844238912,0.00016707969844238912,0.008249141315978033,0.023481961490930788,0.35129694421669244,0.9294443507342984,7,259175
volume_z_score,12,0.0048703397673294235,0.0017656234016668957,0.0017656234016668957,0.0037093045022402273,0.009976325013591804,0.37181071157832657,0.9837186776262159,7,259169
volume_z_score,24,0.005713566042328881,0.0008585445206088416,0.0008585445206088416,0.006082568966293844,0.01550011365352369,0.39242092685630564,1.0382481817192526,7,259157
breakout_cum_delta_eff,1,-0.011049580677020818,-0.026448513954993792,0.026448513954993792,-0.014522519410700716,0.032847483600486914,-0.44211969438308635,-1.1697387610615269,7,259199
breakout_cum_delta_eff,3,-0.015772057069914382,-0.036757117579156645,0.036757117579156645,-0.02913525590352219,0.022756534498634812,-1.2803028468710842,-3.387362935668899,7,259197
breakout_cum_delta_eff,6,-0.015459526919597202,-0.037015095416799516,0.037015095416799516,-0.03102429218832162,0.018417367417774038,-1.6845128559677331,-4.456802097181788,7,259194
breakout_cum_delta_eff,12,-0.009921762589531527,-0.027633575806759,0.027633575806759,-0.02709353506585,0.0055152465314062225,-4.912479417115369,-12.997198858410805,7,259188
breakout_cum_delta_eff,24,-0.004895092120668158,-0.02038655217923094,0.02038655217923094,-0.02517412602881398,0.013369501198429702,-1.8829517762241403,-4.981822130616419,7,259176
friction_cover_ratio,1,0.012206750707485593,0.0027031711293706126,0.0027031711293706126,0.006165967116789667,0.010775244931212041,0.5722345205285366,1.5139902329247932,7,259186
friction_cover_ratio,3,0.02192450594070748,0.008428064537405393,0.008428064537405393,0.011321592852661032,0.013414495407819894,0.8439820141174436,2.23296652036616,7,259184
friction_cover_ratio,6,0.030877681478009882,0.014082081376160198,0.014082081376160198,0.007901328813376076,0.02379903944774145,0.3320020049853701,0.8783947399661157,7,259181
friction_cover_ratio,12,0.03948461271353813,0.018318883512071914,0.018318883512071914,0.001798018495818923,0.04978924908970381,0.036112585120122755,0.0955449194274964,7,259175
friction_cover_ratio,24,0.03687357181830562,0.020305774728051805,0.020305774728051805,0.01367269202042172,0.025667267760196302,0.5326898113255648,1.4093647667053626,7,259163
